gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
mens,2021-03-14,0,1.0,0.583438833945,0.183008149662,0.078773143309,0.022496049564,0.007405824399,0.002253884821,1,1,57,Florida,83.08,South,7,120
mens,2021-03-14,0,1.0,0.385262692249,0.169774386741,0.059291798494,0.018112559356,0.006175822291,0.001925161706,1,1,183,Syracuse,83.0,Midwest,11,82
mens,2021-03-14,0,1.0,0.40303478473,0.119265808146,0.051684857813,0.020866621942,0.005132065184,0.001690545366,1,1,179,St. Bonaventure,82.75,East,9,38
mens,2021-03-14,0,1.0,0.568446703399,0.065727332698,0.027469526204,0.01050538463,0.004544321525,0.001562221722,1,1,201,Oklahoma,83.44,West,8,4
mens,2021-03-14,0,1.0,0.330758356086,0.14358965401,0.053190149068,0.014794144046,0.004758712027,0.001417118769,1,1,328,Utah State,82.4,South,11,114
mens,2021-03-14,0,1.0,0.422401591766,0.113194687692,0.047693067138,0.013823711629,0.00449663648,0.001340884425,1,1,228,Clemson,82.39,Midwest,7,88
mens,2021-03-14,1,0.545922674982,0.232908505191,0.099768610613,0.035892114367,0.01385024492,0.003397279754,0.001116557945,0,1,127,Michigan State,81.8,East,11a,50
mens,2021-03-14,0,1.0,0.310615887247,0.118765878515,0.037143886311,0.013547537834,0.002984722149,0.000895404859,1,1,46,Georgetown,81.49,East,12,42
mens,2021-03-14,0,1.0,0.382255797287,0.088045928596,0.034791765161,0.006807408768,0.002691690639,0.000844905041,1,1,2670,Virginia Commonwealth,81.9,West,10,26
mens,2021-03-14,0,1.0,0.416561166055,0.109600471365,0.040797352102,0.009974872007,0.00286337148,0.000766448401,1,1,259,Virginia Tech,81.16,South,10,122
mens,2021-03-14,0,1.0,0.431553296601,0.041564210337,0.015342303438,0.005214440551,0.002039661831,0.000633327708,1,1,142,Missouri,81.87,West,9,6
mens,2021-03-14,1,0.454077325018,0.177685823714,0.070789291918,0.02358911854,0.008516206887,0.001945999132,0.000602267116,0,1,26,UCLA,80.75,East,11b,51
mens,2021-03-14,0,1.0,0.247329431152,0.077936761415,0.022929477901,0.005039074641,0.001315390865,0.000322110958,1,1,2142,Colgate,79.86,South,14,118
mens,2021-03-14,0,1.0,0.257438698925,0.100618625418,0.016612817927,0.00493865613,0.001275028799,0.000305967099,1,1,204,Oregon State,79.78,Midwest,12,74
